Model,MSE,RMSE,R-squared
Linear Regression,32272.1177567909,179.6444203330315,0.2966990822202713
Decision Tree,376.50942657019175,19.40385081807711,0.9917947924194155
Random Forest,254.9226699343474,15.96629794079853,0.9944445124711421
K-Nearest Neighbors,16427.416848106906,128.16948485543236,0.642000025127182
